Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Elena,@JelenaV12,0.6,Не заполнено,Heuristic Match: аренда,Активен в 1 каналах,1,"**Посуточная аренда.
Сдаю квартиру в Нови Саде** посуточно/ на короткий срок.
Собственник.

Хороший ..."
George T,@gooonzick,0.6,Не заполнено,Heuristic Match: пишите в лс обучение,Активен в 1 каналах,1,Всем привет! Мы в Plata Card ищем инженера по автоматизации тестирования (AQA) для работы с backend-...
OpenTalksAI,@OpenTalksAI,0.6,Не заполнено,Heuristic Match: курс (Business),Активен в 1 каналах,1,"Всем привет!

В феврале 2026 в Белграде пройдет **конференция** ** OpenTalks.AI-2026**! 😎 

Это изве..."
coworkingday_bot,@coworkingday_bot,0.6,Не заполнено,Heuristic Match: контакты (Business),Активен в 1 каналах,1,"👋 Привет! Приглашаем тебя на **Европейский день коворкинга в MAXIMUM** – настоящий день роста, знани..."
IgorC💠,@aRaspod,0.6,Не заполнено,Heuristic Match: услуги заказ курс,Активен в 1 каналах,1,"Мнение исходя из ограниченной информации в вашем вопросе: скорее всего deel не сможет помочь, как ни..."
Valerá Rezitskaya,@rezitskaya,0.6,Не заполнено,Heuristic Match: ищу помощь,Активен в 1 каналах,1,"**Ищу работу в Белграде на позицию Бизнес-ассистента / Project assistant.
**
Опыт работы: **10+ лет...."
Оксана Данилова массаж,@Oksana0882,0.6,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"Здравствуйте! Я Оксана, сертифицированный массажист с индивидуальным подходом и смешанными техниками..."
𝑷𝒆𝒖𝒈𝒆𝒐𝒕 𝑬𝒙𝒑𝒓𝒆𝒔𝒔,@peugeotexpress,0.6,Не заполнено,Heuristic Match: услуги предлагаю пишите,Активен в 1 каналах,1,"**Грузоперевозки, трансфер, зоотакси** **по Воеводине! **

Можем договориться и по другим направлени..."
,@roadgoserbia,0.6,Не заполнено,Heuristic Match: цена viber whatsapp,Активен в 1 каналах,1,"**Частный трансфер и индивидуальные поездки по Сербии. **
✈️ Аэропорт (BEG) Белграда. 
Поездки в Нов..."
asko_thedog,@asko_thedog,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🩵 **Ищем дом для Аско** 
Малыша с большим сердцем, которого не сломила даже тюрьма!
Он рос на границ..."
Илья | Юридические услуги Сербия,@ilya_lawyer_serbia,0.6,Не заполнено,Heuristic Match: услуги стоимость,Активен в 1 каналах,1,"**🇷🇸 Комфортный переезд, бизнес и юридическое сопровождение в Сербии**

Поможем с ВНЖ, открытием биз..."
Георгий,@Dzordz369,0.6,Не заполнено,Heuristic Match: стоимость помощь whatsapp,Активен в 1 каналах,1,"🌍 Kombi Selidbe — Международные грузоперевозки

Надёжная и удобная доставка грузов по всей Европе и ..."
coconatkafriendlytours,@coconatkafriendlytours,0.6,Не заполнено,Heuristic Match: директ подбор,Активен в 1 каналах,1,"✨ Перманентный макияж двух зон — прекрасное КОМБО ✨

Идеальное решение для занятых девушек: макияж в..."
half_russian,@half_russian,0.6,Не заполнено,Heuristic Match: ищу телефон,Активен в 1 каналах,1,Ищу работу в Сербии. Работал переводчиком с Арабского на Русский и наоборот. Также преподавал Арабск...
itmathics,@itmathics,0.6,Не заполнено,Heuristic Match: заказ обучение (Business),Активен в 1 каналах,1,"🔹 Вакансия: **Менеджер по международным закупкам**
📍 Место работы: Белград, Сербия, район Вуков Спом..."
Sasha Koldorkina,@KOLDORKINA,0.6,Не заполнено,Heuristic Match: пишите подбор whatsapp,Активен в 1 каналах,1,"Привет, Белград! Мое имя Александра.Художник-декоратор с профильным художественным образованием и 10..."
abcgroup_recruiter,@abcgroup_recruiter,0.6,Не заполнено,Heuristic Match: услуги пишите (Business),Активен в 1 каналах,1,"#remote #projectmanager #junior 
**🌍 Junior Project Manager (Business Development Team)**

**О компа..."
Artur M,@arturmikheev,0.6,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"💡**Мастер в Белграде **
**•**Мастер на час**
•**Ремонт квартир и домов: косметический или ""под ключ""..."
Никита Иванов,@nikita4661,0.6,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"**Идеальный сет для йоги и домашних тренировок **

🧘🏻‍♀️Коврик для йоги skulpt 180x60 (двусторонний)..."
natatrea,@natatrea,0.6,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"Zlato Beauty (Белград) ищет администратора 💼

В наш премиальный и очень красивый салон в Белграде ищ..."
best_cleaning_belgrade,@best_cleaning_belgrade,0.6,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,"**Новый год без хлопот 
с **[BEST CLEANING](https://t.me/best_cleaning_belgrade)** **⭐️

Новый год —..."
Юрий,@Afyuri,0.6,Не заполнено,Heuristic Match: услуги предлагаю пишите,Активен в 1 каналах,1,"👋 Всем привет и хорошего дня!

Предлагаю помощь по дому и бытовые услуги — на постоянной, временной ..."
blxckbuster,@blxckbuster,0.6,Не заполнено,Heuristic Match: помощь whatsapp (Business),Активен в 1 каналах,1,"В ресторане ""Embers"" открыта вакансия:



✅  Мойщик-уборщик



Пожелания к кандидатам:

📎 Ответствен..."
Tatiana Manicure,@meyernail,0.6,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"Куртка на осень весну.
Р-р  на бирке 86-92 (92 полноценный)

500 дин

Белград: Врачар или Раковица

..."
baraholkaars,@baraholkaars,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Ninja creami deluxe, 10 в 1 
Белендер, шейкер, аппарат для мороженого/сорбета 
Новый, не использовал..."
Elizaveta,@doshpedagog,0.6,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"🌼🌸 Добрый день! 🌸🌼


Меня зовут Елизавета, ищу работу няней в Белграде.


Педагог-психолог по образо..."
shine_cleaning_srb,@shine_cleaning_srb,0.6,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"✅Грузоперевозки 
🚛 Квартирные и офисные переезды
🚛 Доставка мебели из IKEA
🛠 Разборка/сборка, упаков..."
princeair25,@princeair25,0.6,Не заполнено,Heuristic Match: ищу whatsapp (Business),Активен в 1 каналах,1,"Здравствуйте , Евгений , 28 лет . Белград . Ищу работу . 
Обучаем , адекватен , пунктуален . 
Образо..."
polivanovadesign,@polivanovadesign,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Комната в квартире 120м², Стари град, Белград.

3 спальни + кухня-гостиная

5 этаж

У каждой комнаты..."
Shch Lily,@liyashch,0.6,Не заполнено,Heuristic Match: ищу пишите,Активен в 1 каналах,1,"Хомячки сирийские ищут дом (5 шт., один забронирован), отдавать планируем через 1-2 недели, идеальны..."
"Алиса Альмикеева. Семейный врач, терапевт, гастроэнтеролог. К.М.Н.",@Alisya_aa,0.6,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,​📢 Врачебная ординация DOCTORUS в Белграде **приглашает** в свою команду **квалифицированных специал...
Иулия,@iyliiaart,0.6,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Мастер-класс в группе по лепке керамики

В субботу 21 февраля в 13:00 и в 16:00
В воскресенье 22 фев..."
Albi,@mafielli,0.6,Не заполнено,Heuristic Match: пишите в лс номер,Активен в 1 каналах,1,"Сдается двухкомнатная квартира в центре города в срочном порядке, контракт до марта, дальше продлени..."
Anna .,@photopunka,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Плетеная корзина для новорожденного ручного производства, без матрасика. Удобная, очень красивая. 

..."
huntit_roma,@huntit_roma,0.6,Не заполнено,Heuristic Match: пишите в лс заказ (Business),Активен в 1 каналах,1,"#вакансия #dataanalyst #удаленно 

Вакансия: Data Analyst
Компания: HuntIT
Формат: удаленный или гиб..."
Александр Рожков,@Kurka_v_duhovke,0.6,Не заполнено,Heuristic Match: предлагаю,Активен в 1 каналах,1,"В уютный кальянный лаунж-бар RODINA в центре Белграда (Дорчол), предлагающий комфортное пространство..."
Biće Lepo,@bicelepo,0.6,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"Biće Lepo: Превратите ваше пространство в шедевр! 🎨

Мы — ""Biće Lepo"", два русских художника в Серби..."
katydidcrafts,@katydidcrafts,0.6,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"Сумки хэндмейд малышки из полиэфирного шнура

Зелёнка и Вайолет
Размер 17х13х6 см 
Поместятся телефо..."
Алексей,@alexfef72,0.6,Не заполнено,Heuristic Match: пишите телефон номер,Активен в 1 каналах,1,"Если повторится, пишите в тех поддержку. У меня было такое, была лишняя цифра в номере телефона в их..."
Oleg Charnyshevich,@NXAO90,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"@NXAO90 добавь пожалуйста инфу в раздел про поштанск, а то сложно найти, оно оказывается в онлайн по..."
Aleksandr,@trainer_beograd,0.6,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"🏋️ **ПОДГОТОВКА К ЛЕТУ НАЧИНАЕТСЯ СЕЙЧАС**

Планируете привести тело в форму? Самое время начать!

*..."
zaika_ph,@zaika_ph,0.6,Не заполнено,Heuristic Match: заказ (Business),Активен в 1 каналах,1,"🌯 В локал с шавермой DONER KUĆA требуется повар - кассир! 

📍Белград, Зелени венац 

⭐️ Ставка 500rs..."
AURORA BELGRADE,@aurora_belgrade,0.6,Не заполнено,Heuristic Match: реклам[аыу] пишите директ,Активен в 1 каналах,1,"🇷🇸**🔥 ОТКРЫТИЕ НОВОГО НОЧНОГО КЛУБА В БЕЛГРАДЕ — AURORA 🔥
Город, который никогда не спит, получает н..."
Victoria,@vablonde,0.6,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,Продам синтезатор CASIO CT-S100 в идеальном состоянии. Цена: 10к динар (торг уместен). Самовывоз из ...
Paulina,@paulajdash,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Стол IKEA INGO деревянный 
(Параметры на фото) 
К сожалению, столешница с пятнами, так как мы ничем ..."
llendemain,@llendemain,0.6,Не заполнено,Heuristic Match: помощь (Business),Активен в 1 каналах,1,"Мойщик / уборщик в Sonder Vracar 

Условия:
Смены 4/1 по 8ч. Примерная выработка в месяц 200ч. 
Став..."
bali_v_serbii,@bali_v_serbii,0.6,Не заполнено,Heuristic Match: стоимость телефон номер,Активен в 1 каналах,1,"Русско- Сербская школа исторического танца! 💫
Учим то,что исполняли на настоящих балах 19 века! 
Ник..."
Андрей Соколов,@sokol_stroy_rs,0.6,Не заполнено,Heuristic Match: цена пишите телефон,Активен в 1 каналах,1,"Продаётся земельный участок в селе Меленци (15 минут от города Зренянин) площадью 7,5 соток, на кото..."
ViktorK111,@ViktorK111,0.6,Не заполнено,Heuristic Match: услуги пишите заказ,Активен в 1 каналах,1,"🚘 Индивидуальный ВИЗАРАН из Белграда и Панчево на новом автомобиле Opel Frontera 2025 год выпуска, 4..."
sales_near_Despota_Stefana,@sales_near_Despota_Stefana,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Одежда мужская 

1. Рубашка Zara men, размер xl
Плотный хлопок, цвет шампанского, ношена пару раз.
Ц..."
Alena,@lalenally,0.6,Не заполнено,Heuristic Match: ищу заказ (Business),Активен в 1 каналах,1,"#Сербия #project #вакансия 

Всем привет. 
Сейчас ищу **Project manager **в Финтех компанию, 
котора..."
Maksim Sergević,@maks_web_ns,0.6,Не заполнено,Heuristic Match: услуги помощь,Активен в 1 каналах,1,"Квартиры в новостройке премиум-класса в развитом районе Socijalno(Социально), всего в 6 минутах пешк..."
igrushkibg,@igrushkibg,0.6,Не заполнено,Heuristic Match: пишите заказ,Активен в 1 каналах,1,"**Привет!**
Я вяжу на заказ игрушки в Белграде:
💛 любимых персонажей из фильмов, игр и мультфильмов
..."
Lucas_Kot,@Lucas_Kot,0.6,Не заполнено,Heuristic Match: директ обучение (Business),Активен в 1 каналах,1,#резюме #branddirector #marketing #hospitality #restaurants #launch #branding #service #events #smm ...
reware_matket,@reware_matket,0.6,Не заполнено,Heuristic Match: цена (Business),Активен в 1 каналах,1,"Бежевый плащ Lusio, размер s

Классный плащ на текущую погоду, можно носить с кроссовками, кедами. В..."
el_seliverstova,@el_seliverstova,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Продаю MacBook Pro 13"" (Model A1706 / EMC 3071), 2016 год
**
**Цена:** 320 €

**Характеристики:
**..."
alexmart,@alexmart,0.6,Не заполнено,Heuristic Match: пишите в лс,Активен в 1 каналах,1,"**Друзья! Мы ищем Performance-менеджера в рекламное агентство, работающее с рынками Европы и США 🌍**..."
MV_Drive_Servis,@MV_Drive_Servis,0.6,Не заполнено,Heuristic Match: whatsapp телефон (Business),Активен в 1 каналах,1,"🚗 МЕХАНИК в русский автосервис | Белград 🔧

📍 Локация: Белград, Вишњичка бања
💼 Должность: Опытный м..."
Zadorožnaja Natalja,@ZNatalja,0.6,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,я закрывала с помощью @ZNatalja. Ходила только в банк платить...
BelgradeCleaning,@BelgradeCleaning,0.6,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"Добрый день!
Мы профессионально оказываем услуги клининга:

   Уборка после вечеринок — вернём вашем..."
cardocat,@cardocat,0.6,Не заполнено,Heuristic Match: заказ обучение курс (Business),Активен в 1 каналах,1,"ВАКАНСИЯ 

**Повар-универсал в кафе **русской кухни Матрешка (Баново Брдо)

✅**Обязанности:**
- Приг..."
Наталья | Аренда недвижимости,@natalia_real_estate,0.6,Не заполнено,Heuristic Match: пишите аренда,Активен в 1 каналах,1,"Наталья | Лицензированный риэлтор в Сербии 🇷🇸

📍 Белград
Покупка • Продажа • Аренда недвижимости

Пр..."
Workshop,@workshopiy,0.6,Не заполнено,Heuristic Match: цена контакты заказ (Business),Активен в 0 каналах,1,"`📋 Notion: структурируйте свою работу с AI`

`Если вы до сих пор ведёте заметки в разрозненных прило..."
Aleksei Yu,@obpcnh,0.6,Не заполнено,Heuristic Match: услуги пишите,Активен в 1 каналах,1,"Здравствуйте. Меня зовут Алексей. Я мастер на все руки.

Услуги которые я предоставляю в Белграде:

..."
andriy_gavrylov,@andriy_gavrylov,0.6,Не заполнено,Heuristic Match: директ помощь,Активен в 1 каналах,1,"**#resume**** ****#cv**** ****#резюме****
Должность:** Арт-директор #Design
**Локация:** Удаленно
**..."
Evgeny,@OtkupRS,0.6,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,"Белград BW

Продам iPhone 14 128GB
Телефон хорошем состоянии.
128 GB
 89%
 Кабель
Ничего не менялось..."
soroka_beloboka_rs,@soroka_beloboka_rs,0.6,Не заполнено,Heuristic Match: стоимость заказ viber,Активен в 1 каналах,1,"**Кулинарный мастер-класс «Азиатские мотивы» 🍱
🗓 28 августа(воскресенье) 18:00**

Приглашаем Вас при..."
gratzi,@collpaxefan,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Мобильный двухуровневый стол на колесах, диван IKEA. В хорошем состоянии. 

1. Мобильный двухуровнев..."
,@FeklaFusion,0.6,Не заполнено,Heuristic Match: цена курс,Активен в 1 каналах,1,"👻 **Хэллоуин с командой **[**“ФЁкла”!**](https://t.me/FeklaFusion) 🎃

Мы — команда **ФЁкла**, наша ц..."
Atmosfera.Art-teambuilding,@atmosfera_masterclass,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🎄**Выездные творческие новогодние мастер-классы для детей и взрослых **🎄

`-корпоратив
-день компани..."
beosens,@beosens,0.6,Не заполнено,Heuristic Match: заказ (Business),Активен в 1 каналах,1,"Вакансия – Бухгалтер
BEOSENS DOO
Бели Поток (Белград) 

Обязанности:

•  Отражение документов по усл..."
gastroportrs,@gastroportrs,0.6,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"🥂 Менеджер ресторана (Белград)

Это позиция для тех, кто любит сервис, умеет управлять людьми и хоче..."
K3_Hair_SPOT,@K3_Hair_SPOT,0.6,Не заполнено,Heuristic Match: услуги пишите (Business),Активен в 1 каналах,1,"✨ Освобождается кабинет в салоне с января! ✨
Находимся в центре  Белграда. В салоне уже приученные к..."
Driver Personal,@PersonalDriver_bg,0.6,Не заполнено,Heuristic Match: подбор,Активен в 1 каналах,1,"**ВИЗАРАН, Белград**

🤩Выезд из Белграда, от 1800 динар.
🤩Группам от 3х человек скидка 10%.
🤩Ежеднев..."
huntit_pavel,@huntit_pavel,0.6,Не заполнено,Heuristic Match: пишите в лс заказ (Business),Активен в 1 каналах,1,"#вакансия #frontend #developer #Vue3 #удаленно #Senior #Lead

Вакансия: Frontend developer (Vue.js)
..."
bykriscloset,@bykriscloset,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Разбираю гардероб и вещи для дома.  
В канале ещё много вещей по символическим ценам.

Ссылка на кан..."
Marina,@mstainer,0.6,Не заполнено,Heuristic Match: цена пишите в лс,Активен в 1 каналах,1,"MacBook Pro M3 pro 14” 18/512. 
Space Gray.
Buttery health: 96%
Cycle count: 168 
За другими подробн..."
slop enchanter,@key_witness,0.6,Не заполнено,Heuristic Match: ищу пишите в лс,Активен в 1 каналах,1,срочно ищу соаренду или соседей для поиска жилья в Белграде! пишите в лс...
magic_woman24,@magic_woman24,0.6,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"🤗**САМОМАССАЖ ЛИЦА 
Для женщин! **
Возраст 35-60 лет. 
НИКАКИЕ УКОЛЫ НЕ ЗАМЕНЯТ РУКИ🤲
Только 4 челов..."
BGJerky,@JerkyBelgrade,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🎉 Всех с наступающим Новым годом! 🎉

Дополните праздничный стол вкусной и оригинальной закуской — ар..."
esabirzianov,@esabirzianov,0.6,Не заполнено,Heuristic Match: обучение помощь,Активен в 1 каналах,1,"Добрый день!

**Бариста в SONDER COFFEE ROASTERY & CAFE**.

Sonder – кофейная компания с собственной..."
Viktor,@ViktorHP,0.6,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Администратор-кассир

Flame District – новое место силы мяса и огня!

Мы открыли двери заведения фор..."
Sergei Makarenko,@Sabai2556,0.6,Не заполнено,Heuristic Match: пишите в лс (Business),Активен в 1 каналах,1,"**🐾 Фредди срочно ищет дом!
**
🧷Фреди, 6 месяцев, вес 12кг.  Собакен будет среднего размера (около 1..."
PelmeniBelgradRs,@PelmeniBelgradRs,0.6,Не заполнено,Heuristic Match: прайс заказ,Активен в 1 каналах,1,"🛋 Оставайтесь дома — у вас есть пельмени!
⠀
Зачем по морозу тащиться в магазин, если можно остаться ..."
Елизавета Суетова,@suetosha,0.6,Не заполнено,Heuristic Match: цена аренда телефон,Активен в 1 каналах,1,"Ищем новых жильцов для квартиры по просьбе лендлорда с **21 марта**.

**Локация:** Савски Венац, Бел..."
karaburma_sale,@karaburma_sale,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Вакуумные беспроводные наушники JBL Tune 125BT, чёрные**

Новые, даже не вскрытые

**Цена: 2000 ди..."
Ляна✨Уроки✨Вокала✨ Белград,@ljana_lilac,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**🎶 ВОКАЛЬНЫЕ УРОКИ В БЕЛГРАДЕ 🎶**

Хочешь полюбить свой голос и раскрыть его силу?

Я Ляна Одинец —..."
GoodVibesFTP,@GoodVibesFTP,0.6,Не заполнено,Heuristic Match: контакты (Business),Активен в 1 каналах,1,"Вакансия: Клинер на полный рабочий день
Компания: Чистый Рай
График: Полный рабочий день
Локация: Бе..."
tima1789,@tima1789,0.6,Не заполнено,Heuristic Match: ищу телефон,Активен в 1 каналах,1,"Добрый день! Белые воды, рядом с Белградом, ищу мастера на монолитные работы (сборка опалубки, залив..."
alexrean119wv,@alexrean119wv,0.6,Не заполнено,Heuristic Match: в лс телефон,Активен в 1 каналах,1,"https://t.me/alexrean119wv

Аккуратно,это мошенники. 
Купила сегодня не существующий айфон ,все по с..."
Valentina S,@Valentyna_sv,0.6,Не заполнено,Heuristic Match: директ помощь (Business),Активен в 1 каналах,1,"#вакансия #seo

В команду ищем Middle SEO-специалиста с опытом автоматизации и линкбилдинга для рабо..."
garagesaleaytalina,@garagesaleaytalina,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Бьюти-гаджеты:
**1. Японский лифтинг-массажер L&L Skin MAMI**
Сейчас на Яндекс Маркете цена [нового]..."
DonPereljon,@Donchik8,0.6,Не заполнено,Heuristic Match: цена телефон номер,Активен в 1 каналах,1,"Продаю Samsung Galaxy A51Телефон полностью рабочий, без сбоев.Экран без трещин, сенсор работает отли..."
krini_natali,@krini_natali,0.6,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Всем привет! 
Ищем модель на коррекцию и окрашивание бровей, на обучение. Бесплатно!🙌🏻 
День: 08.10 ..."
Leysan Sharafeeva,@schlm13,0.6,Не заполнено,Heuristic Match: цена помощь телефон,Активен в 1 каналах,1,"**Профессиональная бестеневая лампа LUNA для наращивания ресниц с креплением к кушетке или столу.**
..."
ЛенОчка,@lenochkairiska,0.6,Не заполнено,Heuristic Match: цена подбор помощь,Активен в 1 каналах,1,"**Фотосессия всего за 2500 дин!**

7 марта (сб)
Длиться будет час-полтора

Мы ищем людей на фотосесс..."
vkusno_lepim,@vkusno_lepim,0.6,Не заполнено,Heuristic Match: пишите заказ,Активен в 1 каналах,1,"Вас приветствует Компания [Пемелье](https://t.me/vkusno_lepim)** 🥟 в Белграде!**

Почти 3 года назад..."
blessmons__,@blessmons__,0.6,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"Всем привет!)
Ищем** Golang-разработчика** в команду, которая предоставляет CPaaS-решения для бизнес..."
Marina Stojilkov,@marinabelaruska,0.6,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Компания Balkan Packaging, производитель бумажной упаковки, ищет оператора печатной линии (мужчина)...."
Maxim Tarasenko,@MaximRuSrb,0.6,Не заполнено,Heuristic Match: пишите курс номер,Активен в 1 каналах,1,В Сербии это легализовано. Есть две криптобиржи с лицензиями. Мы у себя в коворкинге отработали схем...
ClassyHR,@ClassyHR,0.6,Не заполнено,Heuristic Match: цена обучение помощь (Business),Активен в 1 каналах,1,"💻 Вакансия — Чаттер (Оператор Чата для моделей)
📍 Локация(мы переехали)
▪️ Белград, Војводе Степе 80..."
GuessEkat,@GuessEkat,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Тюбик ищет дом 😻

Ему 7-8 месяцев. Очень любит играть. Не меньше обниматься, пурчать и лежать всей т..."
Katerina Yuranova,@lukkate,0.6,Не заполнено,Heuristic Match: обучение (Business),Активен в 1 каналах,1,"Компания: EvenBet Gaming
Вакансия: 2D Artist
Локация: любая, кроме РФ

EvenBet Gaming – глобальная п..."
the_hobbit_house,@the_hobbit_house,0.6,Не заполнено,Heuristic Match: стоимость аренда viber,Активен в 1 каналах,1,"АРЕНДА пространства для занятий и мероприятий!

Творческое пространство ""The Hobbit House"" в центре ..."
ulia_che_1,@ulia_che_1,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**С Р О Ч Н О !**
Нужны люди, все из дома, **ОТ 7 000 РУБЛЕЙ В ДЕНЬ!!**!
**Пишите,** все объясню **@..."
God,@Judoka20172,0.6,Не заполнено,Heuristic Match: продам цена стоимость,Активен в 1 каналах,1,"Продам ps 4 в отличном состоянии + 2 оригинал джойстика 
Стоимость 180€
Из игр есть только фифа24 
Ц..."
Yana Petrova,@Yanamony22,0.6,Не заполнено,Heuristic Match: аренда,Активен в 1 каналах,1,"@Yanamony22 Привет 👋 С недвижимостью в Сербии 🇷🇸 вам помогут 👇

🔑 @natalia_real_estate Наталья (Белг..."
Aртур,@Arthur_kurbanov,0.6,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"🤝 Здравствуйте! Меня зовут Артур.
Я начинающий моушн-дизайнер, создаю аккуратную 3D/2D-графику.

🎯 М..."
☕ Олеся Комиссарова,@koeco97,0.6,Не заполнено,Heuristic Match: продам цена контакты (Business),Активен в 1 каналах,1,[**Фен Xiaomi Water Ionic Hair Dryer H500**](https://mi-srbija.rs/lifestyle/nega-i-zdravlje/fenovi/x...
Трансфер Переезды Аренда авто Аэропорт 🔁 Нови Сад,@novisad_transfer,0.6,Не заполнено,Heuristic Match: стоимость в лс аренда,Активен в 1 каналах,1,"**Аренда авто в Нови Саде 🚕**
Мы рады предложить вам комфорт , надежность и практичность ! 
В нашем ..."
Дарья,@ZakriyMagic,0.6,Не заполнено,Heuristic Match: цена пишите заказ,Активен в 1 каналах,1,"🎄 Рождественский штоллен по классическому рецепту - принимаю несколько заказов! 🎄

Каждый год я пеку..."
Polina Skorobogatova,@lys_polina,0.6,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🌿 **Trial Day в Little & Young Sparrows**

Приглашаем детей от 1 до 9 лет на бесплатный пробный день..."
Kseniia,@ksush_sm,0.6,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Продаю Apple Watch SE (2-го поколения) 40мм. Часы в отличном состоянии, полностью рабочие.

В компле..."
Света,@kraski_neba,0.6,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**💃МЯГКАЯ РАСТЯЖКА💃
После 35+
Гимнастика молодости. 
Укрепляем позвоночник. Улучшаем подвижность сус..."
Grigorii K.,@xgreego,0.6,Не заполнено,Heuristic Match: цена пишите номер,Активен в 1 каналах,1,"💻 **Продаётся MacBook Pro 13” (2020)**

MacBook Pro в рабочем состоянии, есть косяки по косметике (н..."
Clean Team Kosmaj,@Clean_Team_Kosmaj,0.6,Не заполнено,Heuristic Match: стоимость пишите директ,Активен в 1 каналах,1,"Клининговое агентство 
Clean Team Kosmaj предлагает:

🏠 Для вашего дома:
• Генеральная и поддерживаю..."
Pack Me Up Again,@PackMeUpAgain,0.6,Не заполнено,Heuristic Match: стоимость (Business),Активен в 1 каналах,1,"Вы готовитесь к переезду и понимаете, что стены уже не выглядят свежо? Следы от мебели, царапины, по..."
Sergey S,@sergey202,0.6,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,"**Продам Sony Xperia 10 VI **чёрный 
Состояние — **как новый**, использовался всего пару раз.
Куплен..."
i•NNA Shvetsova,@I_NNA77,0.6,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"**__Всем привет! __****👋**

**__Ищу модели на бесплатные мужские стрижки и бороды ✂️__**

**__Стрижк..."
Kris,@kkk_dmitrieva,0.6,Не заполнено,Heuristic Match: пишите помощь,Активен в 1 каналах,1,"Продолжаем искать дом для маленькой кошечки, которую нашли на улице, дрожащую от холода и голода. 💔
..."
Наталья Электроэпиляция,@natalia_electro,0.6,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"**⚡ЭЛЕКТРОЭПИЛЯЦИЯ⚡**

Дорогие клиенты! 💖
Я - опытный сертифицированный мастер электроэпиляции 👩‍🎓
Р..."
Kristina,@uxui_kristina,0.6,Не заполнено,Heuristic Match: продам цена заказ,Активен в 1 каналах,1,"Продам ортопедический матрас 160х200
Пользовались год.
Покупала на заказ в сербском магазине. 
Очень..."
Spes Espero,@SpesEspero,0.6,Не заполнено,Heuristic Match: цена контакты viber,Активен в 1 каналах,1,"Съезжаю с квартиры и помогаю хозяйке найти новых жильцов

50 м², на втором этаже. Квартира находится..."
